"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"559d9916fdf99b1e2b2dc6b8",1,"older",1,"WOMAN","THING",FALSE,3.51389,3,1,"runner","mis-match",1185,"no","2 s","WOMEN",0,"extra",NA
"559d9916fdf99b1e2b2dc6b8",1,"older",2,"?","DIRT",FALSE,1.467705,1,2,"mirror","new-new",1185,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",1,"older",3,"?","FRIEND",FALSE,3.21867,4,3,"taxi","old-new",1185,"no","2 s","FAMILY",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",1,"older",4,"?","JUNGLE",FALSE,0.881025,2,4,"anchor","match",1185,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",2,"older",1,"?","ARTIST",FALSE,0.896505,4,1,"gorilla","old-new",1186,"no","2 s","HONEY",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",2,"older",2,"?","FLIGHT",FALSE,1.25047,1,2,"tyre","match",1186,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",2,"older",3,"?","YEAR",FALSE,1.03423,2,3,"telephone","mis-match",1186,"no","2 s","BATH",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",2,"older",4,"?","CANDY",FALSE,0.799105,3,4,"cart","new-new",1186,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",3,"older",1,"?","PLENTY",FALSE,9.99053,2,1,"diamond","mis-match",1187,"no","2 s","THING",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",3,"older",2,"?","YARD",FALSE,9.99068,4,2,"mushroom","new-new",1187,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",3,"older",3,"?","CLOCK",FALSE,9.99092,1,3,"bolt","match",1187,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",3,"older",4,"?","KIND",FALSE,0.54767,3,4,"perfume","old-new",1187,"no","2 s","GODS",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",4,"older",1,"?","NATION",FALSE,2.69951,1,1,"pepper","new-new",1188,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",4,"older",2,"DANGER","DANGER",TRUE,2.584675,3,2,"skateboard","new-new",1188,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",4,"older",3,"POLICY","POLICY",TRUE,4.21981,2,3,"frame","new-new",1188,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",4,"older",4,"?","RECORD",FALSE,1.265775,4,4,"sun","new-new",1188,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",5,"older",1,"CASINO","CASINO",TRUE,4.48445,3,1,"map","mis-match",1189,"no","2 s","PHOTO",0,"correct",NA
"559d9916fdf99b1e2b2dc6b8",5,"older",2,"?","APPLE",FALSE,1.14841,2,2,"stool","old-new",1189,"no","2 s","AGENT",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",5,"older",3,"?","SPEECH",FALSE,0.817105,4,3,"pear","new-new",1189,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",5,"older",4,"?","SAKE",FALSE,0.716515,1,4,"ring","match",1189,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",6,"older",1,"TEAR","TEAR",TRUE,3.750165,4,1,"calendar","new-new",1190,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",6,"older",2,"?","BELT",FALSE,1.35012,2,2,"wheelbarrow","old-new",1190,"no","2 s","HOTEL",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",6,"older",3,"?","ADVICE",FALSE,0.632905,3,3,"stamp","mis-match",1190,"no","2 s","CASINO",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",6,"older",4,"?","LOTS",FALSE,0.51609,1,4,"microphone","match",1190,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",7,"older",1,"LETTER","FOOD",FALSE,5.853005,1,1,"cathedral","new-new",1191,"no","2 s",NA,NA,"within",-1
"559d9916fdf99b1e2b2dc6b8",7,"older",2,"MILLER","LETTER",FALSE,4.398555,2,2,"hanger","new-new",1191,"no","2 s",NA,NA,"within",-1
"559d9916fdf99b1e2b2dc6b8",7,"older",3,"MOMENT","MILLER",FALSE,4.036325,3,3,"sunflower","new-new",1191,"no","2 s",NA,NA,"within",-1
"559d9916fdf99b1e2b2dc6b8",7,"older",4,"?","MOMENT",FALSE,0.549835,4,4,"aeroplane","new-new",1191,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",8,"older",1,"?","MILE",FALSE,1.832745,4,1,"dice","new-new",1192,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",8,"older",2,"BOYS","BOYS",TRUE,2.83572,2,2,"monkey","new-new",1192,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",8,"older",3,"?","SPIRIT",FALSE,1.450535,3,3,"tractor","new-new",1192,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",8,"older",4,"?","CARS",FALSE,0.56638,1,4,"motorbike","new-new",1192,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",9,"older",1,"?","RIVER",FALSE,1.06325,2,1,"backpack","mis-match",1193,"no","2 s","CLIENT",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",9,"older",2,"?","WEAPON",FALSE,0.64889,3,2,"boot","new-new",1193,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",9,"older",3,"PENNY","PENNY",TRUE,3.352455,4,3,"shovel","match",1193,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",9,"older",4,"?","AREA",FALSE,1.566985,1,4,"bench","old-new",1193,"no","2 s","DUDE",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",10,"older",1,"?","DEMON",FALSE,1.046885,2,1,"salt","new-new",1194,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",10,"older",2,"GLASS","FEET",FALSE,5.15457,4,2,"crown","old-new",1194,"no","2 s","PILLS",0,"within",3
"559d9916fdf99b1e2b2dc6b8",10,"older",3,"?","BATH",FALSE,1.350055,3,3,"daisy","mis-match",1194,"no","2 s","RIVER",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",10,"older",4,"GLASS","GLASS",TRUE,1.83347,1,4,"rug","match",1194,"no","2 s",NA,NA,"correct",NA
