consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no
y,32.046025,TOUGH,15.00802,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,0,0,0,3,1,crow,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,0,1,1,1,1,hose,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,0,2,2,2,1,lobster,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,0,3,3,4,1,peach,,,,,,,,,,,,
,,GENIUS,15.01338,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,chameleon,0,0,0,0,1,,,,,,,
,,?,13.446655,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,peach,0,1,1,4,1,,,,,,,
,,BRAVE,12.24479,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,crow,0,2,2,3,1,,,,,,,
,,CELL,7.00621,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,hose,0,3,3,1,1,,,,,,,
,,?,8.89186,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,lobster,0,4,4,2,1,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,GLASS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,daisy,,,,,,0,0,0,27,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_285.png,WRITER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,carrot,,,,,,0,1,1,6,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_708.png,VALLEY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,monkey,,,,,,0,2,2,45,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_453.png,FAMILY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,scissors,,,,,,0,3,3,48,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_654.png,YEAR,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,pencil,,,,,,0,4,4,41,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_2.png,JUNGLE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,tyre,,,,,,0,5,5,1,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_147.png,LEADER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,hanger,,,,,,0,6,6,33,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_348.png,DUDE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,pepper,,,,,,0,7,7,59,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_95.png,NIGHT,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,suitcase,,,,,,0,8,8,37,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_255.png,PENNY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,shovel,,,,,,0,9,9,19,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_177.png,HOUSE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,mushroom,,,,,,0,10,10,25,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_33.png,COPS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,frame,,,,,,0,11,11,29,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_509.png,SHOTS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,telephone,,,,,,0,12,12,7,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_215.png,FOOD,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,boot,,,,,,0,13,13,5,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_141.png,CLIENT,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,sunflower,,,,,,0,14,14,30,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_405.png,JUNGLE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,anchor,,,,,,0,15,15,58,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_57.png,CASINO,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,stamp,,,,,,0,16,16,12,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_57.png,CANDY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,stamp,,,,,,0,17,17,52,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_470.png,BEAUTY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,motorbike,,,,,,0,18,18,26,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_509.png,APPLE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,telephone,,,,,,0,19,19,38,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_504.png,HOUSE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,wheel,,,,,,0,20,20,36,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_688.png,CLOCK,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,runner,,,,,,0,21,21,42,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_491.png,SERIES,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,rug,,,,,,0,22,22,39,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_564.png,PLENTY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,spoon,,,,,,0,23,23,11,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_311.png,FLESH,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,razor,,,,,,0,24,24,3,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_57.png,NATION,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,stamp,,,,,,0,25,25,21,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_654.png,COPS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,pencil,,,,,,0,26,26,10,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_2.png,YARD,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,tyre,,,,,,0,27,27,55,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_32.png,LETTER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,crown,,,,,,0,28,28,56,1,6,2
,,,,,,,,,,stimuli/images/PICTURE_403.png,FAMILY,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,cathedral,,,,,,0,29,29,9,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_285.png,PRINCE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,carrot,,,,,,0,30,30,20,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_215.png,BOYS,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,boot,,,,,,0,31,31,24,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_160.png,HOTEL,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,wheelbarrow,,,,,,0,32,32,16,1,2,2
,,,,,,,,,,stimuli/images/PICTURE_314.png,SPEECH,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,perfume,,,,,,0,33,33,35,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_123.png,SALE,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,dart,,,,,,0,34,34,8,1,1,2
,,,,,,,,,,stimuli/images/PICTURE_2.png,AREA,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,tyre,,,,,,0,35,35,32,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_509.png,MILLER,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,telephone,,,,,,0,36,36,49,1,5,2
,,,,,,,,,,stimuli/images/PICTURE_509.png,BATH,5c0ebd9a0fcb7c0001eab571,07/07/1944,2020-07-09_13h34.41.876,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07550df8e03d3393a7292c,3,,,,,,telephone,,,,,,0,37,37,15,1,2,2
