consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
y,12.67085,TOUGH,2.33481,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,0,0,0,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,0,1,1,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,0,2,2,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,0,3,3,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,2.049905,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,hose,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,1.346655,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,1.61426,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,lobster,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,5.99288,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,chameleon,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,5.077575,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,peach,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_32.png,KIND,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,crown,,,,,,0,0,0,35,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,RIVER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,rug,,,,,,0,1,1,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,MONTH,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,pencil,,,,,,0,2,2,29,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,PLENTY,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,anchor,,,,,,0,3,3,23,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,RIVER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,daisy,,,,,,0,4,4,10,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,WRITER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,cathedral,,,,,,0,5,5,31,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_677.png,APPLE,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,map,,,,,,0,6,6,43,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,WOMEN,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,hanger,,,,,,0,7,7,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,BOYS,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,suitcase,,,,,,0,8,8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_675.png,SALE,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,windmill,,,,,,0,9,9,47,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,ARTIST,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,wheel,,,,,,0,10,10,49,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,RIVER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,cathedral,,,,,,0,11,11,40,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_383.png,WRITER,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,coin,,,,,,0,12,12,28,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_108.png,FLIGHT,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,calendar,,,,,,0,13,13,59,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,SYSTEM,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,microphone,,,,,,0,14,14,32,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,YEAR,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,wheel,,,,,,0,15,15,13,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_744.png,WEAPON,5ecff9937fd043096b2c1984,2020-06-30_14h41.11.110,proactive,2020.1.2,Win32,60,5efb791ed4cb570da489e737,5efb87214baea00fc3eee071,4,,,,,,ring,,,,,,0,16,16,50,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
