consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no
y,33.640295,TOUGH,7.898785,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,0,0,0,1,1,hose,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,0,1,1,0,1,chameleon,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,0,2,2,2,1,lobster,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,0,3,3,3,1,crow,,,,,,,,,,,,
,,DEVIL,3.16265,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,crow,0,0,0,3,1,,,,,,,
,,LOSS,2.32504,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,lobster,0,1,1,2,1,,,,,,,
,,KILLR,2.725305,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,peach,0,2,2,4,1,,,,,,,
,,CELL,5.694385,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,hose,0,3,3,1,1,,,,,,,
,,GENIUS,4.56674,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,chameleon,0,4,4,0,1,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_469.png,LETTER,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,stool,,,,,,0,0,0,42,1,5,0
,,,,,,,,,,stimuli/images/PICTURE_453.png,PLENTY,5e2f5b28129198070e2996db,02/26/1944,2020-09-10_22h15.08.493,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5add87b7f9261ee973650e,6,,,,,,scissors,,,,,,0,1,1,56,1,6,0
