consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,SESSION_ID,STUDY_ID,preview,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,1.14358,?,2.39163,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,0,0,0,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,0,2,2,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,?,1.042005,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,peach,0,0,0,4,1,,,,,,,,,,,,,,,,,,
,,?,0.18295,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,chameleon,0,1,1,0,1,,,,,,,,,,,,,,,,,,
,,?,1.34301,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,,,,,,,
,,?,15.007285,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,
,,?,15.003595,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e7a52d668c97d0300d607b2,01/01/1999,2020-08-27_13h06.55.984,proactive3.1,2020.1.2,MacIntel,60,00esyw1abwngq,5f47c29a48bd2a1e651a6eb7,1,1,,,,,,crow,0,4,4,3,1,,,,,,,,,,,,,,,,,,
