consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran
y,5.357235,TOUGH,4.91566,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,0,0,0,0,1,chameleon,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,0,1,1,4,1,peach,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,0,2,2,2,1,lobster,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,0,3,3,3,1,crow,,,,,
,,TEST,4.381495,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,hose,0,0,0,1,1
,,GINUES,8.2986,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,lobster,0,1,1,2,1
,,?,4.698135,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,peach,0,2,2,4,1
,,GINEUS,6.57986,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,chameleon,0,3,3,0,1
,,HIGH,4.5636,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ece212254762d1b9aa5e793,22/01/1990,2020-08-27_18h35.54.764,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47eeceb6c229243aeb39fa,1,,,,,,crow,0,4,4,3,1
