consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran
y,34.76726,TROUGH,11.722055,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,0,0,0,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,0,1,1,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,0,2,2,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,0,3,3,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENIUS,5.497235,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLKER,2.30022,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,peach,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,4.116615,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,crow,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?,13.01552,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,hose,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,4.11456,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e9cc569aff5bd1ec9764db5,06/09/1952,2020-09-03_13h41.25.232,proactive2,2020.1.2,MacIntel,60,5f5126bb654d4b30ee6923d8,5f512aa262b184331912dad9,6,,,,,,lobster,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
