consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran
y,26.218,?,11.558,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,0,0,0,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,0,1,1,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,0,2,2,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILL,4.296,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,peach,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,3.415,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,hose,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,2.537,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,crow,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,1.832,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENIUS,2.849,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ec513570e821a440f878858,29/04/1999,2020-08-13_12h52.19.132,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f3529559e502b4786c79dd7,4,,,,,,chameleon,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
