file,image,word,list_no,block_no
stimuli/images/PICTURE_123.png,dart,RIVER,1,3
stimuli/images/PICTURE_297.png,aeroplane,AGENT,1,3
stimuli/images/PICTURE_688.png,runner,IDEAS,1,3
stimuli/images/PICTURE_2.png,tyre,MILE,1,3
stimuli/images/PICTURE_203.png,cap,SPIRIT,1,3
stimuli/images/PICTURE_68.png,candle,MEMBER,1,3
stimuli/images/PICTURE_692.png,cherry,OUTFIT,1,3
stimuli/images/PICTURE_750.png,kettle,MOMENT,1,3
stimuli/images/PICTURE_95.png,suitcase,DEAN,1,3
stimuli/images/PICTURE_564.png,spoon,HOUSE,2,3
stimuli/images/PICTURE_42.png,pear,HOTEL,2,3
stimuli/images/PICTURE_311.png,razor,WEAPON,2,3
stimuli/images/PICTURE_93.png,skateboard,STYLE,2,3
stimuli/images/PICTURE_535.png,truck,HONEY,2,3
stimuli/images/PICTURE_314.png,perfume,KIND,2,3
stimuli/images/PICTURE_469.png,stool,DUDE,2,3
stimuli/images/PICTURE_212.png,scales,CANDY,2,3
stimuli/images/PICTURE_208.png,microphone,WRITER,2,3
stimuli/images/PICTURE_33.png,frame,FLESH,3,3
stimuli/images/PICTURE_655.png,megaphone,YARD,3,3
stimuli/images/PICTURE_487.png,basket,BATH,3,3
stimuli/images/PICTURE_203.png,cap,STYLE,3,3
stimuli/images/PICTURE_340.png,mirror,DEMON,3,3
stimuli/images/PICTURE_685.png,goose,PRINCE,3,3
stimuli/images/PICTURE_42.png,pear,SPIRIT,3,3
stimuli/images/PICTURE_403.png,cathedral,DOZEN,3,3
stimuli/images/PICTURE_535.png,truck,PENNY,3,3
stimuli/images/PICTURE_560.png,watermelon,MOMENT,4,3
stimuli/images/PICTURE_296.png,bolt,DEATH,4,3
stimuli/images/PICTURE_314.png,perfume,RIVER,4,3
stimuli/images/PICTURE_488.png,sun,YARD,4,3
stimuli/images/PICTURE_156.png,recorder,PHOTO,4,3
stimuli/images/PICTURE_255.png,shovel,ROOF,4,3
stimuli/images/PICTURE_405.png,anchor,JUNGLE,4,3
stimuli/images/PICTURE_750.png,kettle,SYSTEM,4,3
stimuli/images/PICTURE_449.png,bench,COPS,4,3
stimuli/images/PICTURE_558.png,lighter,AGENT,5,3
stimuli/images/PICTURE_654.png,pencil,NATION,5,3
stimuli/images/PICTURE_560.png,watermelon,FAMILY,5,3
stimuli/images/PICTURE_255.png,shovel,OUTFIT,5,3
stimuli/images/PICTURE_212.png,scales,PLENTY,5,3
stimuli/images/PICTURE_677.png,map,CANDY,5,3
stimuli/images/PICTURE_535.png,truck,DEMON,5,3
stimuli/images/PICTURE_156.png,recorder,HONEY,5,3
stimuli/images/PICTURE_57.png,stamp,SPIRIT,5,3
stimuli/images/PICTURE_509.png,telephone,NATION,6,3
stimuli/images/PICTURE_655.png,megaphone,PHOTO,6,3
stimuli/images/PICTURE_487.png,basket,PIZZA,6,3
stimuli/images/PICTURE_85.png,diamond,OCEAN,6,3
stimuli/images/PICTURE_42.png,pear,ROOF,6,3
stimuli/images/PICTURE_233.png,salt,FRIEND,6,3
stimuli/images/PICTURE_488.png,sun,OUTFIT,6,3
stimuli/images/PICTURE_151.png,tray,AREA,6,3
stimuli/images/PICTURE_156.png,recorder,WRITER,6,3
