"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"55057a56fdf99b5b566a70bb",1,"younger",1,"PLENTY","PLENTY",TRUE,4.782085,1,1,"salt","mis-match",625
"55057a56fdf99b5b566a70bb",1,"younger",2,"HONEY","HONEY",TRUE,1.299635,0,2,"kettle","old-new",625
"55057a56fdf99b5b566a70bb",1,"younger",3,"CLOCK","STYLE",FALSE,1.95008,3,3,"suitcase","match",625
"55057a56fdf99b5b566a70bb",1,"younger",4,"STYLE","CLOCK",FALSE,2.85035,2,4,"pear","new-new",625
"55057a56fdf99b5b566a70bb",2,"younger",1,"DOZEN","DOZEN",TRUE,2.898875,0,1,"gorilla","new-new",626
"55057a56fdf99b5b566a70bb",2,"younger",2,"FLESH","FLESH",TRUE,1.68322,1,2,"windmill","new-new",626
"55057a56fdf99b5b566a70bb",2,"younger",3,"CARDS","CARS",FALSE,2.383065,2,3,"tray","new-new",626
"55057a56fdf99b5b566a70bb",2,"younger",4,"LOTS","LOTS",TRUE,1.58252,3,4,"backpack","new-new",626
"55057a56fdf99b5b566a70bb",3,"younger",1,"SERIES","MILLER",FALSE,3.18328,3,1,"bolt","new-new",627
"55057a56fdf99b5b566a70bb",3,"younger",2,"MILLER","AGENT",FALSE,1.965975,2,2,"goose","new-new",627
"55057a56fdf99b5b566a70bb",3,"younger",3,"SALE","SERIES",FALSE,2.09932,0,3,"tyre","new-new",627
"55057a56fdf99b5b566a70bb",3,"younger",4,"AGENT","SALE",FALSE,1.76671,1,4,"diamond","new-new",627
"55057a56fdf99b5b566a70bb",4,"younger",1,"FAMILY","FAMILY",TRUE,3.997555,2,1,"ring","new-new",628
"55057a56fdf99b5b566a70bb",4,"younger",2,"PILLS","PILLS",TRUE,1.816725,0,2,"skateboard","new-new",628
"55057a56fdf99b5b566a70bb",4,"younger",3,"NIGHT","NIGHT",TRUE,2.049855,3,3,"bench","new-new",628
"55057a56fdf99b5b566a70bb",4,"younger",4,"RECORD","RECORD",TRUE,1.782865,1,4,"razor","new-new",628
"55057a56fdf99b5b566a70bb",5,"younger",1,"DEMON","DEMON",TRUE,3.381865,1,1,"telephone","mis-match",629
"55057a56fdf99b5b566a70bb",5,"younger",2,"ADVICE","ADVICE",TRUE,1.8161,0,2,"megaphone","new-new",629
"55057a56fdf99b5b566a70bb",5,"younger",3,"SAKE","SAKE",TRUE,2.88328,3,3,"motorbike","old-new",629
"55057a56fdf99b5b566a70bb",5,"younger",4,"AREA","AREA",TRUE,1.017005,2,4,"shovel","match",629
"55057a56fdf99b5b566a70bb",6,"younger",1,"PRINCE","PRINCE",TRUE,2.19807,3,1,"peg","mis-match",630
"55057a56fdf99b5b566a70bb",6,"younger",2,"THING","THING",TRUE,1.564775,0,2,"frame","old-new",630
"55057a56fdf99b5b566a70bb",6,"younger",3,"FOOD","FOOD",TRUE,1.21673,1,3,"dart","new-new",630
"55057a56fdf99b5b566a70bb",6,"younger",4,"HOUSE","HOUSE",TRUE,1.067295,2,4,"mushroom","match",630
"55057a56fdf99b5b566a70bb",7,"younger",1,"CLIENT","CLIENT",TRUE,2.864695,3,1,"watch","new-new",631
"55057a56fdf99b5b566a70bb",7,"younger",2,"CANDY","CANDY",TRUE,2.799635,1,2,"tractor","new-new",631
"55057a56fdf99b5b566a70bb",7,"younger",3,"FLIGHT","FLIGHT",TRUE,1.481825,0,3,"wheel","new-new",631
"55057a56fdf99b5b566a70bb",7,"younger",4,"FEET","FEET",TRUE,1.88269,2,4,"runner","new-new",631
"55057a56fdf99b5b566a70bb",8,"younger",1,"KIND","KIND",TRUE,1.581455,1,1,"candle","match",632
"55057a56fdf99b5b566a70bb",8,"younger",2,"ARTIST","WRITER",FALSE,1.783065,0,2,"cap","mis-match",632
"55057a56fdf99b5b566a70bb",8,"younger",3,"WOMAN","WOMEN",FALSE,3.383265,3,3,"microphone","old-new",632
"55057a56fdf99b5b566a70bb",8,"younger",4,"WEAPON","WEAPON",TRUE,1.58268,2,4,"cherry","new-new",632
"55057a56fdf99b5b566a70bb",9,"younger",1,"BATH","BATH",TRUE,2.248305,2,1,"spoon","match",633
"55057a56fdf99b5b566a70bb",9,"younger",2,"POLICY","POLICY",TRUE,1.83304,0,2,"pepper","mis-match",633
"55057a56fdf99b5b566a70bb",9,"younger",3,"BELT","BELT",TRUE,1.900175,3,3,"wheelbarrow","new-new",633
"55057a56fdf99b5b566a70bb",9,"younger",4,"JUNGLE","JUNGLE",TRUE,1.416565,1,4,"planet","old-new",633
"55057a56fdf99b5b566a70bb",10,"younger",1,"FRIEND","GODS",FALSE,2.49835,2,1,"perfume","new-new",634
"55057a56fdf99b5b566a70bb",10,"younger",2,"DANGER","DANGER",TRUE,1.349615,0,2,"crown","new-new",634
"55057a56fdf99b5b566a70bb",10,"younger",3,"VALLEY","VALLEY",TRUE,1.499985,1,3,"basket","new-new",634
"55057a56fdf99b5b566a70bb",10,"younger",4,"GODS","FRIEND",FALSE,1.249045,3,4,"balcony","new-new",634
"55057a56fdf99b5b566a70bb",11,"younger",1,"SYSTEM","SYSTEM",TRUE,1.93152,0,1,"sun","new-new",635
"55057a56fdf99b5b566a70bb",11,"younger",2,"TEAR","TEAR",TRUE,1.616385,2,2,"hanger","old-new",635
"55057a56fdf99b5b566a70bb",11,"younger",3,"ARTIST","ARTIST",TRUE,1.316675,1,3,"calendar","mis-match",635
"55057a56fdf99b5b566a70bb",11,"younger",4,"LETTER","LETTER",TRUE,1.084355,3,4,"mirror","match",635
"55057a56fdf99b5b566a70bb",12,"younger",1,"DEATH","DEATH",TRUE,4.716425,1,1,"aeroplane","new-new",636
"55057a56fdf99b5b566a70bb",12,"younger",2,"LEADER","LEADER",TRUE,1.483085,0,2,"sunflower","new-new",636
"55057a56fdf99b5b566a70bb",12,"younger",3,"LIFE","LIFE",TRUE,1.61652,3,3,"pawn","new-new",636
"55057a56fdf99b5b566a70bb",12,"younger",4,"SHOTS","SHOTS",TRUE,0.999725,2,4,"cart","new-new",636
"55057a56fdf99b5b566a70bb",13,"younger",1,"NATION","NATION",TRUE,1.848935,3,1,"stamp","match",637
"55057a56fdf99b5b566a70bb",13,"younger",2,"TOILET","TOILET",TRUE,2.08154,2,2,"anchor","mis-match",637
"55057a56fdf99b5b566a70bb",13,"younger",3,"PENNY","PENNY",TRUE,1.133365,1,3,"stool","new-new",637
"55057a56fdf99b5b566a70bb",13,"younger",4,"BODY","BODY",TRUE,1.665525,0,4,"daisy","old-new",637
"55057a56fdf99b5b566a70bb",14,"younger",1,"MILE","MILE",TRUE,1.86486,3,1,"taxi","new-new",638
"55057a56fdf99b5b566a70bb",14,"younger",2,"YARD","YARD",TRUE,1.233005,0,2,"monkey","match",638
"55057a56fdf99b5b566a70bb",14,"younger",3,"DIRT","DIRT",TRUE,1.116635,1,3,"scissors","old-new",638
"55057a56fdf99b5b566a70bb",14,"younger",4,"SPEECH","SPEECH",TRUE,1.516255,2,4,"carrot","mis-match",638
"55057a56fdf99b5b566a70bb",15,"younger",1,"APPLE","MOMENT",FALSE,2.16472,1,1,"boot","old-new",639
"55057a56fdf99b5b566a70bb",15,"younger",2,"ROOF","ROOF",TRUE,1.69971,2,2,"rug","match",639
"55057a56fdf99b5b566a70bb",15,"younger",3,"IDEAS","IDEAS",TRUE,1.566015,3,3,"coin","mis-match",639
"55057a56fdf99b5b566a70bb",15,"younger",4,"MOMENT","APPLE",FALSE,1.24994,0,4,"dice","new-new",639
"55057a56fdf99b5b566a70bb",16,"younger",1,"PHOTO","PHOTO",TRUE,2.39973,1,1,"cathedral","mis-match",640
"55057a56fdf99b5b566a70bb",16,"younger",2,"CASINO","CASINO",TRUE,1.199695,2,2,"helmet","match",640
"55057a56fdf99b5b566a70bb",16,"younger",3,"ESTATE","ESTATE",TRUE,2.18345,0,3,"map","new-new",640
"55057a56fdf99b5b566a70bb",16,"younger",4,"GIRL","GIRL",TRUE,1.232935,3,4,"pencil","old-new",640
"555b4c66fdf99b19786e3fa8",1,"younger",1,"SPOKE","LETTER",FALSE,4.630615,1,1,"microphone","new-new",609
"555b4c66fdf99b19786e3fa8",1,"younger",2,"DEATH","DEATH",TRUE,1.749195,3,2,"pawn","new-new",609
"555b4c66fdf99b19786e3fa8",1,"younger",3,"DIRT","DIRT",TRUE,1.5497,0,3,"sun","new-new",609
"555b4c66fdf99b19786e3fa8",1,"younger",4,"ADVICE","ADVICE",TRUE,2.79892,2,4,"dice","new-new",609
"555b4c66fdf99b19786e3fa8",2,"younger",1,"CLOCK","CLOCK",TRUE,1.998985,2,1,"sunflower","new-new",610
"555b4c66fdf99b19786e3fa8",2,"younger",2,"GODS","GODS",TRUE,1.615505,1,2,"windmill","new-new",610
"555b4c66fdf99b19786e3fa8",2,"younger",3,"HOTEL","HOTEL",TRUE,1.515305,0,3,"megaphone","new-new",610
"555b4c66fdf99b19786e3fa8",2,"younger",4,"PHOT","PHOTO",FALSE,5.448815,3,4,"spoon","new-new",610
"555b4c66fdf99b19786e3fa8",3,"younger",1,"?","DOZEN",FALSE,2.16381,1,1,"anchor","old-new",611
"555b4c66fdf99b19786e3fa8",3,"younger",2,"HONEY","HONEY",TRUE,1.81587,0,2,"taxi","new-new",611
"555b4c66fdf99b19786e3fa8",3,"younger",3,"NIGHT","NIGHT",TRUE,1.081435,2,3,"cap","match",611
"555b4c66fdf99b19786e3fa8",3,"younger",4,"NATION","NATION",TRUE,0.816475,3,4,"wheelbarrow","mis-match",611
"555b4c66fdf99b19786e3fa8",4,"younger",1,"?","AGENT",FALSE,3.230415,3,1,"mushroom","new-new",612
"555b4c66fdf99b19786e3fa8",4,"younger",2,"SALE","SALE",TRUE,2.43262,1,2,"dart","match",612
"555b4c66fdf99b19786e3fa8",4,"younger",3,"?","IDEAS",FALSE,0.982295,0,3,"daisy","old-new",612
"555b4c66fdf99b19786e3fa8",4,"younger",4,"LEADER","LEADER",TRUE,1.09965,2,4,"runner","mis-match",612
"555b4c66fdf99b19786e3fa8",5,"younger",1,"CANDY","CANDY",TRUE,3.215395,0,1,"perfume","mis-match",613
"555b4c66fdf99b19786e3fa8",5,"younger",2,"CLIENT","CLIENT",TRUE,1.332295,1,2,"monkey","match",613
"555b4c66fdf99b19786e3fa8",5,"younger",3,"STYLE","STYLE",TRUE,1.699035,3,3,"pear","new-new",613
"555b4c66fdf99b19786e3fa8",5,"younger",4,"LIFE","LIFE",TRUE,1.49939,2,4,"wheel","old-new",613
"555b4c66fdf99b19786e3fa8",6,"younger",1,"WRITER","WRITER",TRUE,2.857225,2,1,"carrot","match",614
"555b4c66fdf99b19786e3fa8",6,"younger",2,"MONTH","MONTH",TRUE,2.931315,0,2,"cherry","new-new",614
"555b4c66fdf99b19786e3fa8",6,"younger",3,"BELT","BELT",TRUE,1.516105,3,3,"backpack","old-new",614
"555b4c66fdf99b19786e3fa8",6,"younger",4,"SAKE","SAKE",TRUE,1.85004,1,4,"cathedral","mis-match",614
