file,image,word,list_no,block_no
stimuli/images/PICTURE_339.png,backpack,PLENTY,1,0
stimuli/images/PICTURE_654.png,pencil,VALLEY,1,0
stimuli/images/PICTURE_688.png,runner,CASINO,1,0
stimuli/images/PICTURE_160.png,wheelbarrow,LEADER,1,0
stimuli/images/PICTURE_667.png,daisy,BATH,1,0
stimuli/images/PICTURE_708.png,monkey,CLIENT,1,0
stimuli/images/PICTURE_469.png,stool,ARTIST,1,0
stimuli/images/PICTURE_314.png,perfume,SAKE,1,0
stimuli/images/PICTURE_504.png,wheel,BODY,1,0
stimuli/images/PICTURE_487.png,basket,FLIGHT,1,0
stimuli/images/PICTURE_208.png,microphone,LOTS,2,0
stimuli/images/PICTURE_314.png,perfume,GODS,2,0
stimuli/images/PICTURE_285.png,carrot,ADVICE,2,0
stimuli/images/PICTURE_311.png,razor,BEAUTY,2,0
stimuli/images/PICTURE_688.png,runner,WOMEN,2,0
stimuli/images/PICTURE_85.png,diamond,THING,2,0
stimuli/images/PICTURE_692.png,cherry,MONTH,2,0
stimuli/images/PICTURE_744.png,ring,SAKE,2,0
stimuli/images/PICTURE_302.png,taxi,FAMILY,2,0
stimuli/images/PICTURE_151.png,tray,GIRL,2,0
stimuli/images/PICTURE_348.png,pepper,SPEECH,3,0
stimuli/images/PICTURE_509.png,telephone,PHOTO,3,0
stimuli/images/PICTURE_255.png,shovel,AREA,3,0
stimuli/images/PICTURE_467.png,peg,DEMON,3,0
stimuli/images/PICTURE_491.png,rug,ROOF,3,0
stimuli/images/PICTURE_95.png,suitcase,STYLE,3,0
stimuli/images/PICTURE_203.png,cap,ARTIST,3,0
stimuli/images/PICTURE_453.png,scissors,DUDE,3,0
stimuli/images/PICTURE_233.png,salt,IDEAS,3,0
stimuli/images/PICTURE_708.png,monkey,YARD,3,0
stimuli/images/PICTURE_677.png,map,MILE,4,0
stimuli/images/PICTURE_708.png,monkey,PENNY,4,0
stimuli/images/PICTURE_675.png,windmill,WEAPON,4,0
stimuli/images/PICTURE_488.png,sun,STYLE,4,0
stimuli/images/PICTURE_311.png,razor,FRIEND,4,0
stimuli/images/PICTURE_177.png,mushroom,CARS,4,0
stimuli/images/PICTURE_470.png,motorbike,CASINO,4,0
stimuli/images/PICTURE_215.png,boot,PLENTY,4,0
stimuli/images/PICTURE_233.png,salt,WOMEN,4,0
stimuli/images/PICTURE_248.png,cart,DOZEN,4,0
stimuli/images/PICTURE_123.png,dart,ADVICE,5,0
stimuli/images/PICTURE_667.png,daisy,PLENTY,5,0
stimuli/images/PICTURE_469.png,stool,LETTER,5,0
stimuli/images/PICTURE_744.png,ring,SYSTEM,5,0
stimuli/images/PICTURE_68.png,candle,MILE,5,0
stimuli/images/PICTURE_32.png,crown,JUNGLE,5,0
stimuli/images/PICTURE_308.png,dice,ESTATE,5,0
stimuli/images/PICTURE_208.png,microphone,THING,5,0
stimuli/images/PICTURE_327.png,helmet,BEAUTY,5,0
stimuli/images/PICTURE_380.png,gorilla,DEATH,5,0
stimuli/images/PICTURE_123.png,dart,ADVICE,6,0
stimuli/images/PICTURE_147.png,hanger,MOMENT,6,0
stimuli/images/PICTURE_380.png,gorilla,PHOTO,6,0
stimuli/images/PICTURE_208.png,microphone,MONTH,6,0
stimuli/images/PICTURE_308.png,dice,KIND,6,0
stimuli/images/PICTURE_356.png,pawn,DANGER,6,0
stimuli/images/PICTURE_453.png,scissors,PLENTY,6,0
stimuli/images/PICTURE_491.png,rug,WRITER,6,0
stimuli/images/PICTURE_160.png,wheelbarrow,FEET,6,0
stimuli/images/PICTURE_449.png,bench,THING,6,0
