file,image,word,list_no,block_no
stimuli/images/PICTURE_380.png,gorilla,CANDY,1,1
stimuli/images/PICTURE_95.png,suitcase,BOYS,1,1
stimuli/images/PICTURE_203.png,cap,NIGHT,1,1
stimuli/images/PICTURE_327.png,helmet,SERIES,1,1
stimuli/images/PICTURE_685.png,goose,PENNY,1,1
stimuli/images/PICTURE_85.png,diamond,NATION,1,1
stimuli/images/PICTURE_491.png,rug,RIVER,1,1
stimuli/images/PICTURE_147.png,hanger,WOMEN,1,1
stimuli/images/PICTURE_33.png,frame,FRIEND,1,1
stimuli/images/PICTURE_296.png,bolt,LOTS,1,1
stimuli/images/PICTURE_667.png,daisy,RIVER,2,1
stimuli/images/PICTURE_339.png,backpack,CLIENT,2,1
stimuli/images/PICTURE_655.png,megaphone,TOILET,2,1
stimuli/images/PICTURE_504.png,wheel,YEAR,2,1
stimuli/images/PICTURE_491.png,rug,GLASS,2,1
stimuli/images/PICTURE_2.png,tyre,FLIGHT,2,1
stimuli/images/PICTURE_469.png,stool,AGENT,2,1
stimuli/images/PICTURE_449.png,bench,DUDE,2,1
stimuli/images/PICTURE_32.png,crown,PILLS,2,1
stimuli/images/PICTURE_380.png,gorilla,HONEY,2,1
stimuli/images/PICTURE_327.png,helmet,CASINO,3,1
stimuli/images/PICTURE_147.png,hanger,YEAR,3,1
stimuli/images/PICTURE_108.png,calendar,POLICY,3,1
stimuli/images/PICTURE_405.png,anchor,PLENTY,3,1
stimuli/images/PICTURE_340.png,mirror,LETTER,3,1
stimuli/images/PICTURE_403.png,cathedral,TOILET,3,1
stimuli/images/PICTURE_564.png,spoon,BATH,3,1
stimuli/images/PICTURE_750.png,kettle,HOTEL,3,1
stimuli/images/PICTURE_383.png,coin,WRITER,3,1
stimuli/images/PICTURE_654.png,pencil,MONTH,3,1
stimuli/images/PICTURE_203.png,cap,GODS,4,1
stimuli/images/PICTURE_403.png,cathedral,WRITER,4,1
stimuli/images/PICTURE_208.png,microphone,SYSTEM,4,1
stimuli/images/PICTURE_285.png,carrot,LIFE,4,1
stimuli/images/PICTURE_405.png,anchor,YEAR,4,1
stimuli/images/PICTURE_32.png,crown,KIND,4,1
stimuli/images/PICTURE_308.png,dice,FAMILY,4,1
stimuli/images/PICTURE_57.png,stamp,MOMENT,4,1
stimuli/images/PICTURE_68.png,candle,ROOF,4,1
stimuli/images/PICTURE_297.png,aeroplane,RIVER,4,1
stimuli/images/PICTURE_403.png,cathedral,RIVER,5,1
stimuli/images/PICTURE_177.png,mushroom,WRITER,5,1
stimuli/images/PICTURE_233.png,salt,LOTS,5,1
stimuli/images/PICTURE_677.png,map,APPLE,5,1
stimuli/images/PICTURE_95.png,suitcase,HONEY,5,1
stimuli/images/PICTURE_487.png,basket,GIRL,5,1
stimuli/images/PICTURE_383.png,coin,SERIES,5,1
stimuli/images/PICTURE_675.png,windmill,SALE,5,1
stimuli/images/PICTURE_85.png,diamond,TOILET,5,1
stimuli/images/PICTURE_504.png,wheel,ARTIST,5,1
stimuli/images/PICTURE_744.png,ring,WEAPON,6,1
stimuli/images/PICTURE_68.png,candle,MILE,6,1
stimuli/images/PICTURE_504.png,wheel,COPS,6,1
stimuli/images/PICTURE_467.png,peg,POLICY,6,1
stimuli/images/PICTURE_340.png,mirror,VALLEY,6,1
stimuli/images/PICTURE_42.png,pear,BOYS,6,1
stimuli/images/PICTURE_95.png,suitcase,MILLER,6,1
stimuli/images/PICTURE_296.png,bolt,LIFE,6,1
stimuli/images/PICTURE_708.png,monkey,RECORD,6,1
stimuli/images/PICTURE_108.png,calendar,FLIGHT,6,1
